epoch,train_loss,val_loss,train_acc,val_acc
1,0.3561762562453747,0.1513563015373649,89.155,95.45
2,0.14400909675061702,0.10636952568652333,96.01875,97.025
3,0.11084132966399193,0.07946069602658794,96.88375,97.56
4,0.09016372571885586,0.07434755998550896,97.42875,97.585
5,0.07712313325107098,0.05576025905490965,97.7475,98.26
6,0.07091150912046433,0.056946314794195305,97.89125,98.06
7,0.06406212195307016,0.05135880579139776,98.075,98.24
8,0.05918097815848887,0.05935202630245643,98.19625,98.355
9,0.05308491933643818,0.05894862372090055,98.3825,98.305
10,0.05048418987989425,0.04620624705555902,98.465,98.705
11,0.04586357219517231,0.04112281308028918,98.5375,98.75
12,0.041868909066170454,0.040604420755559784,98.6925,98.775
13,0.04123281201459467,0.04059329246627582,98.73125,98.78
14,0.03787737996429205,0.0360239656244636,98.81625,98.885
15,0.03507911457940936,0.034603545073327864,98.89375,98.935
16,0.035252410710603,0.039919111576631285,98.9125,98.78
17,0.03185345157273114,0.03430549602712368,98.975,98.935
18,0.03092774234684184,0.04140519759147636,99.01875,98.955
19,0.029076280811429024,0.03891292063924959,99.0675,98.975
20,0.02618783188345842,0.03790550579885644,99.135,98.99
21,0.02724106535264291,0.03655436960461247,99.12625,99.065
22,0.025299126393347977,0.034410688639054915,99.205,99.08
23,0.0247761517573148,0.04188393795833875,99.17375,98.97
24,0.016319772767275573,0.03139695127410844,99.47875,99.26
25,0.015339829695690423,0.03294591575539908,99.4925,99.25
26,0.014423850609664805,0.03102813823398679,99.52875,99.285
27,0.013527876960486174,0.033653974185271746,99.56375,99.255
28,0.012605651115602814,0.03459063820120753,99.59625,99.335
29,0.011786585857509635,0.035551510065453644,99.6125,99.215
30,0.01241665792328713,0.03467788667928585,99.57,99.255
31,0.010946304956305539,0.03511919159551604,99.6275,99.26
32,0.01132207862607902,0.032267106684450514,99.61625,99.265
33,0.00766045246332651,0.034738230295504324,99.74125,99.345
34,0.00641764068871853,0.0373363364070214,99.76625,99.345
35,0.007180063977633835,0.03878566419956433,99.755,99.335
36,0.005943517194986634,0.03854811755486683,99.80125,99.345
37,0.006069606680426659,0.041148440693813466,99.80875,99.305
38,0.0068397969171084694,0.04010302230784537,99.7925,99.295
39,0.004907063405342342,0.04143085633617734,99.815,99.34
40,0.004304950928833568,0.04144208681207306,99.8575,99.33
41,0.004223821985345421,0.044267422678339385,99.85875,99.36
42,0.0036792472910650758,0.04734258674822377,99.86375,99.345
43,0.003882785108652752,0.044859206884737456,99.85875,99.345
44,0.003571971160473913,0.046655547928553115,99.87625,99.38
45,0.0028203174023708924,0.04736122892875931,99.905,99.425
46,0.0037345249787838837,0.04468639637146987,99.8775,99.39
47,0.0034018541419962274,0.045364581631282465,99.88875,99.405
48,0.0031357385445006003,0.04592294461192711,99.90125,99.395
49,0.0029697495904228164,0.04670114506223994,99.90625,99.41
50,0.002595417923011155,0.04782691067870416,99.905,99.39
51,0.0025627443530036546,0.048372067695908794,99.9075,99.38
52,0.0024611332606816177,0.04948829051887845,99.9225,99.4
53,0.0023453588634022708,0.04984913270097939,99.92875,99.4
54,0.0021215213925952414,0.04995591997418836,99.935,99.395
55,0.002711697219395637,0.05010480767043949,99.91,99.39
56,0.002372287811616843,0.050310564350485816,99.9075,99.38
57,0.0025757321663576476,0.050197831296432724,99.90875,99.385
58,0.0023102317136655982,0.05078542641881804,99.925,99.395
59,0.0024476083484253194,0.05082235762318426,99.92125,99.395
60,0.002053254223689737,0.050759994398636266,99.93,99.38
61,0.002102203748347665,0.05150455513046929,99.92625,99.39
62,0.0021497413818630322,0.051766620730029994,99.93,99.39
63,0.0021355056400071135,0.052198097741583356,99.92625,99.405
64,0.0019786484921342435,0.05170981222984551,99.93375,99.405
65,0.0028006345886143207,0.05195330268621761,99.91375,99.405
66,0.001779233758076498,0.05237535865238304,99.9425,99.405
67,0.0018550431843779506,0.05241370805073518,99.935,99.405
68,0.0023777323015580806,0.05186374417569324,99.9275,99.405
69,0.002174961202747181,0.05224368793283271,99.9225,99.405
70,0.0023297258789929175,0.05220393144599134,99.925,99.405
71,0.0024787244236770677,0.052212285932638255,99.91875,99.41
72,0.0023352154080343327,0.05219139241002007,99.91625,99.405
73,0.0023766795708699646,0.05245132438939538,99.91875,99.405
74,0.002153297105837214,0.05246679310529032,99.92625,99.405
75,0.0020065729460479816,0.05250698404678223,99.93375,99.4
76,0.0019208640128982552,0.052405664457233575,99.93,99.405
77,0.002316129857066403,0.052374030411661436,99.92625,99.41
78,0.002185746804648488,0.052409096932169115,99.92625,99.405
79,0.0018601094431721322,0.05222644516798817,99.94375,99.405
80,0.0018616829458426025,0.052361433978334065,99.9375,99.405
